LessonID,StudentID,SubjectID,PaymentID,CategoryID,StartDate,StartTime,LessonType
28,28,3,64,1,2025-07-25,16:30:00,In Presenza
60,60,6,NULL,1,2025-07-25,18:00:00,In Presenza
100,40,1,NULL,3,2025-07-25,18:00:00,In Presenza
3,3,5,NULL,4,2025-07-31,16:30:00,Online
59,59,6,32,4,2025-07-31,16:30:00,Online
174,9,3,41,1,2025-08-01,18:00:00,In Presenza
44,44,4,NULL,1,2025-08-02,16:30:00,Online
124,11,2,20,2,2025-08-03,16:30:00,In Presenza
185,16,2,65,4,2025-08-03,16:30:00,In Presenza
143,26,4,3,2,2025-08-04,15:00:00,Online
159,33,4,57,1,2025-08-04,16:30:00,In Presenza
121,17,1,NULL,1,2025-08-06,15:00:00,Online
27,27,1,NULL,3,2025-08-07,18:00:00,Online
29,29,1,66,3,2025-08-07,16:30:00,In Presenza
122,73,4,63,1,2025-08-07,16:30:00,In Presenza
45,45,3,NULL,4,2025-08-08,18:00:00,Online
108,9,1,NULL,4,2025-08-08,15:00:00,In Presenza
195,77,3,67,1,2025-08-08,18:00:00,Online
155,55,6,69,4,2025-08-09,18:00:00,In Presenza
101,54,4,NULL,1,2025-08-10,16:30:00,In Presenza
162,76,1,NULL,3,2025-08-10,16:30:00,Online
184,26,3,NULL,4,2025-08-13,18:00:00,Online
186,32,4,5,3,2025-08-13,18:00:00,In Presenza
139,67,6,70,3,2025-08-14,18:00:00,Online
34,34,1,NULL,4,2025-08-15,15:00:00,Online
12,12,1,71,3,2025-08-17,16:30:00,Online
22,22,2,NULL,2,2025-08-19,16:30:00,In Presenza
70,70,3,NULL,2,2025-08-20,16:30:00,In Presenza
68,68,4,NULL,1,2025-08-22,16:30:00,In Presenza
196,63,1,NULL,2,2025-08-22,16:30:00,Online
56,56,3,NULL,1,2025-08-23,18:00:00,In Presenza
42,42,1,10,1,2025-08-24,18:00:00,In Presenza
189,35,6,NULL,2,2025-08-26,18:00:00,In Presenza
179,35,7,NULL,4,2025-08-28,15:00:00,In Presenza
25,25,1,72,2,2025-08-29,18:00:00,In Presenza
131,13,7,NULL,1,2025-08-29,18:00:00,In Presenza
6,6,2,73,3,2025-08-30,18:00:00,In Presenza
198,57,7,74,2,2025-09-01,15:00:00,In Presenza
157,75,6,75,1,2025-09-02,18:00:00,In Presenza
126,41,7,76,4,2025-09-03,16:30:00,In Presenza
89,17,4,NULL,1,2025-09-06,16:30:00,Online
99,76,7,NULL,3,2025-09-06,15:00:00,In Presenza
50,50,3,77,2,2025-09-07,15:00:00,Online
52,52,5,78,2,2025-09-08,16:30:00,Online
118,50,4,NULL,3,2025-09-08,16:30:00,Online
163,73,7,NULL,4,2025-09-08,15:00:00,Online
31,31,1,NULL,4,2025-09-09,15:00:00,Online
137,30,7,79,4,2025-09-13,18:00:00,Online
26,26,7,NULL,2,2025-09-14,16:30:00,In Presenza
77,77,4,68,4,2025-09-14,18:00:00,In Presenza
152,14,5,NULL,2,2025-09-14,18:00:00,In Presenza
148,32,1,NULL,1,2025-09-19,18:00:00,Online
178,12,7,NULL,1,2025-09-19,18:00:00,Online
11,11,3,NULL,3,2025-09-20,18:00:00,In Presenza
32,32,2,NULL,1,2025-09-21,15:00:00,In Presenza
5,5,5,16,2,2025-09-24,18:00:00,Online
62,62,1,NULL,3,2025-09-24,15:00:00,In Presenza
64,64,5,NULL,3,2025-09-24,16:30:00,Online
47,47,1,NULL,3,2025-09-25,15:00:00,In Presenza
97,13,4,NULL,2,2025-09-27,16:30:00,Online
144,23,5,NULL,3,2025-09-28,15:00:00,Online
145,36,2,80,3,2025-09-28,15:00:00,In Presenza
75,75,5,NULL,3,2025-10-01,18:00:00,In Presenza
114,42,5,NULL,4,2025-10-01,18:00:00,Online
166,77,1,NULL,4,2025-10-01,15:00:00,In Presenza
117,2,2,NULL,4,2025-10-02,16:30:00,In Presenza
41,41,4,NULL,2,2025-10-03,18:00:00,In Presenza
197,69,3,53,2,2025-10-03,16:30:00,Online
133,5,2,NULL,3,2025-10-04,18:00:00,Online
66,66,4,43,4,2025-10-05,15:00:00,In Presenza
79,79,1,NULL,2,2025-10-06,15:00:00,Online
10,10,3,NULL,4,2025-10-09,16:30:00,In Presenza
36,36,4,80,2,2025-10-09,15:00:00,Online
67,67,7,NULL,3,2025-10-10,18:00:00,Online
127,69,3,NULL,2,2025-10-10,16:30:00,Online
91,33,3,NULL,1,2025-10-11,18:00:00,In Presenza
167,49,6,NULL,3,2025-10-12,18:00:00,Online
57,57,4,74,2,2025-10-13,16:30:00,Online
80,80,3,NULL,2,2025-10-13,16:30:00,In Presenza
58,58,1,NULL,1,2025-10-14,16:30:00,In Presenza
111,29,4,66,1,2025-10-14,16:30:00,In Presenza
164,72,2,81,1,2025-10-14,18:00:00,Online
82,6,7,73,2,2025-10-16,15:00:00,Online
92,52,5,NULL,2,2025-10-16,16:30:00,Online
171,66,7,44,4,2025-10-18,15:00:00,Online
16,16,3,65,4,2025-10-19,15:00:00,In Presenza
132,57,7,NULL,1,2025-10-20,18:00:00,Online
158,36,4,NULL,1,2025-10-20,18:00:00,In Presenza
125,74,5,2,1,2025-10-21,16:30:00,In Presenza
129,74,2,NULL,4,2025-10-21,15:00:00,Online
200,66,2,NULL,3,2025-10-23,18:00:00,In Presenza
146,4,3,NULL,3,2025-10-26,16:30:00,In Presenza
160,28,5,NULL,1,2025-10-26,15:00:00,In Presenza
105,8,3,NULL,1,2025-10-27,18:00:00,In Presenza
138,6,6,NULL,4,2025-10-27,15:00:00,Online
72,72,6,NULL,1,2025-10-28,16:30:00,Online
95,6,4,NULL,1,2025-10-28,16:30:00,In Presenza
187,77,4,NULL,4,2025-10-28,18:00:00,Online
120,7,4,NULL,1,2025-10-30,18:00:00,In Presenza
149,29,3,NULL,3,2025-10-30,16:30:00,In Presenza
141,16,3,NULL,4,2025-11-01,18:00:00,In Presenza
142,66,3,NULL,2,2025-11-01,16:30:00,Online
151,42,2,NULL,4,2025-11-03,16:30:00,Online
190,59,6,NULL,3,2025-11-04,15:00:00,In Presenza
55,55,6,NULL,4,2025-11-05,18:00:00,In Presenza
176,43,7,NULL,3,2025-11-05,15:00:00,In Presenza
136,25,4,NULL,1,2025-11-06,15:00:00,Online
30,30,3,NULL,2,2025-11-07,16:30:00,Online
98,16,6,NULL,3,2025-11-08,18:00:00,In Presenza
86,46,2,47,3,2025-11-09,16:30:00,Online
177,24,1,NULL,4,2025-11-09,16:30:00,Online
147,1,3,NULL,1,2025-11-10,18:00:00,In Presenza
180,65,7,NULL,4,2025-11-10,16:30:00,Online
106,2,4,NULL,2,2025-11-11,16:30:00,Online
130,46,4,NULL,3,2025-11-12,16:30:00,In Presenza
33,33,2,NULL,1,2025-11-16,16:30:00,In Presenza
