VoteID,StudentID,ModuleID,FirstVote,SecondVote,FinalVote,IsDeleted
86,68,4,7,NULL,NULL,0
87,333,6,2,NULL,NULL,0
88,82,5,1,NULL,NULL,0
89,106,7,3,2,2.5,0
90,106,8,9,7,8.0,0
91,106,10,7,9,8.0,0
92,266,7,5,2,3.5,0
93,266,8,6,10,8.0,0
94,266,9,2,1,1.5,0
95,266,10,6,8,7.0,0
96,311,8,7,5,6.0,0
97,311,9,3,3,3.0,0
98,311,10,10,9,9.5,0
99,261,7,1,10,5.5,0
100,261,8,8,7,7.5,0
101,261,9,3,9,6.0,0
102,261,10,5,2,3.5,0
103,97,7,8,6,7.0,0
104,97,8,9,9,9.0,0
105,97,9,7,5,6.0,0
106,97,10,6,3,4.5,0
107,383,8,4,7,5.5,0
108,383,9,10,10,10.0,0
109,383,10,6,5,5.5,0
110,201,7,5,5,5.0,0
111,201,8,4,3,3.5,0
112,201,9,5,10,7.5,0
113,201,10,4,5,4.5,0
114,152,7,4,9,6.5,0
115,152,8,3,1,2.0,0
116,152,9,1,9,5.0,0
117,152,10,4,1,2.5,0
118,331,7,1,6,3.5,0
119,331,8,10,7,8.5,0
120,331,9,9,3,6.0,0
121,331,10,5,2,3.5,0
122,28,7,2,8,5.0,0
123,28,8,8,5,6.5,0
124,28,9,3,5,4.0,0
125,28,10,2,6,4.0,0
126,402,7,4,2,3.0,0
127,402,8,9,6,7.5,0
128,402,9,9,2,5.5,0
129,402,10,6,1,3.5,0
130,460,7,9,6,7.5,0
131,460,8,9,1,5.0,0
132,460,10,4,3,3.5,0
133,407,7,4,4,4.0,0
134,407,8,3,8,5.5,0
135,407,9,8,5,6.5,0
136,407,10,2,9,5.5,0
137,489,7,4,1,2.5,0
138,489,8,8,9,8.5,0
139,489,9,3,1,2.0,0
140,489,10,5,10,7.5,0
141,123,7,10,4,7.0,0
142,123,8,8,9,8.5,0
143,123,9,3,5,4.0,0
144,123,10,5,8,6.5,0
145,254,7,7,10,8.5,0
146,254,8,8,5,6.5,0
147,254,9,2,5,3.5,0
148,254,10,8,6,7.0,0
149,198,7,7,2,4.5,0
150,198,8,6,2,4.0,0
151,198,9,7,3,5.0,0
152,198,10,8,8,8.0,0
153,58,7,4,1,2.5,0
154,58,8,9,4,6.5,0
155,58,9,7,1,4.0,0
156,58,10,6,5,5.5,0
157,124,7,7,7,7.0,0
158,124,8,7,7,7.0,0
159,124,9,1,5,3.0,0
160,124,10,4,6,5.0,0
161,256,7,1,5,3.0,0
162,256,8,4,10,7.0,0
163,256,9,9,4,6.5,0
164,256,10,2,10,6.0,0
165,327,7,3,10,6.5,0
166,327,8,1,7,4.0,0
167,327,9,6,6,6.0,0
168,327,10,9,2,5.5,0
169,305,7,9,4,6.5,0
170,305,8,4,3,3.5,0
171,305,9,7,4,5.5,0
172,305,10,3,6,4.5,0
173,37,7,4,9,6.5,0
174,37,8,1,1,1.0,0
175,37,9,9,2,5.5,0
176,37,10,8,1,4.5,0
177,271,7,5,1,3.0,0
178,271,8,4,1,2.5,0
179,271,9,2,7,4.5,0
180,271,10,3,5,4.0,0
181,191,11,2,2,2.0,0
182,191,12,7,1,4.0,0
183,191,13,9,10,9.5,0
184,65,11,10,7,8.5,0
185,65,12,10,5,7.5,0
186,65,13,7,9,8.0,0
187,65,14,5,5,5.0,0
188,384,11,2,5,3.5,0
189,384,13,7,5,6.0,0
190,384,14,4,7,5.5,0
191,400,11,8,5,6.5,0
192,400,13,4,7,5.5,0
193,400,14,8,7,7.5,0
194,448,12,2,8,5.0,0
195,448,13,1,7,4.0,0
196,448,14,8,6,7.0,0
197,138,11,2,5,3.5,0
198,138,12,2,2,2.0,0
199,138,13,4,8,6.0,0
200,138,14,2,3,2.5,0
201,376,11,8,9,8.5,0
202,376,12,10,4,7.0,0
203,376,13,8,5,6.5,0
204,376,14,6,3,4.5,0
205,454,11,10,10,10.0,0
206,454,12,1,5,3.0,0
207,454,13,9,8,8.5,0
208,454,14,6,4,5.0,0
209,61,11,8,9,8.5,0
210,61,12,2,2,2.0,0
211,61,13,2,7,4.5,0
212,61,14,1,3,2.0,0
213,395,11,2,3,2.5,0
214,395,12,2,1,1.5,0
215,395,13,8,3,5.5,0
216,395,14,9,8,8.5,0
217,461,11,9,7,8.0,0
218,461,12,5,2,3.5,0
219,461,13,5,5,5.0,0
220,461,14,10,6,8.0,0
221,16,11,3,3,3.0,0
222,16,12,4,10,7.0,0
223,16,14,10,5,7.5,0
224,172,11,4,6,5.0,0
225,172,13,3,3,3.0,0
226,172,14,8,1,4.5,0
227,414,11,3,3,3.0,0
228,414,12,1,5,3.0,0
229,414,13,4,2,3.0,0
230,414,14,6,2,4.0,0
231,220,11,8,10,9.0,0
232,220,12,6,9,7.5,0
233,220,13,6,1,3.5,0
234,140,11,7,10,8.5,0
235,140,12,6,10,8.0,0
236,140,13,5,9,7.0,0
237,140,14,4,2,3.0,0
238,269,11,2,4,3.0,0
239,269,12,5,10,7.5,0
240,269,13,9,10,9.5,0
241,269,14,7,6,6.5,0
242,33,11,10,10,10.0,0
243,33,12,10,8,9.0,0
244,33,13,1,4,2.5,0
245,135,11,10,3,6.5,0
246,135,12,8,1,4.5,0
247,135,13,1,3,2.0,0
248,135,14,8,7,7.5,0
249,365,11,6,5,5.5,0
250,365,12,2,4,3.0,0
251,365,13,7,7,7.0,0
252,365,14,6,5,5.5,0
253,420,16,2,10,6.0,0
254,420,17,3,5,4.0,0
255,420,18,7,9,8.0,0
256,460,16,2,9,5.5,0
257,460,17,6,3,4.5,0
258,460,18,6,8,7.0,0
259,171,16,10,9,9.5,0
260,171,17,4,7,5.5,0
261,171,18,1,4,2.5,0
262,180,16,5,6,5.5,0
263,180,17,6,5,5.5,0
264,180,18,1,10,5.5,0
265,180,19,5,NULL,NULL,0
266,49,16,5,5,5.0,0
267,49,17,10,1,5.5,0
268,49,18,8,10,9.0,0
269,300,16,9,2,5.5,0
270,300,17,1,10,5.5,0
271,300,18,3,3,3.0,0
272,250,15,7,NULL,NULL,0
273,250,16,2,1,1.5,0
274,250,17,1,6,3.5,0
275,250,18,9,5,7.0,0
276,6,15,10,NULL,NULL,0
277,6,16,6,6,6.0,0
278,6,17,3,10,6.5,0
279,6,18,6,9,7.5,0
280,6,19,7,NULL,NULL,0
281,201,16,1,2,1.5,0
282,201,17,9,3,6.0,0
283,201,18,2,3,2.5,0
284,113,15,4,NULL,NULL,0
285,113,16,7,3,5.0,0
286,113,17,1,5,3.0,0
287,113,18,6,2,4.0,0
288,161,16,10,8,9.0,0
289,161,17,2,3,2.5,0
290,161,18,3,6,4.5,0
291,305,16,1,4,2.5,0
292,305,17,8,2,5.0,0
293,305,18,4,5,4.5,0
294,425,17,3,5,4.0,0
295,425,18,5,3,4.0,0
296,425,19,10,NULL,NULL,0
297,167,16,4,5,4.5,0
298,167,17,3,5,4.0,0
299,167,18,8,5,6.5,0
300,167,19,6,NULL,NULL,0
301,400,16,9,8,8.5,0
302,400,17,3,1,2.0,0
303,337,15,10,NULL,NULL,0
304,337,16,7,6,6.5,0
305,337,17,5,4,4.5,0
306,337,18,9,9,9.0,0
307,135,16,4,5,4.5,0
308,135,17,5,1,3.0,0
309,254,16,8,10,9.0,0
310,254,17,10,7,8.5,0
311,254,18,1,6,3.5,0
312,319,16,1,3,2.0,0
313,319,17,6,6,6.0,0
314,319,18,2,3,2.5,0
315,269,16,3,1,2.0,0
316,269,17,10,8,9.0,0
317,269,18,7,7,7.0,0
318,419,15,6,NULL,NULL,0
319,419,16,8,7,7.5,0
320,419,17,4,9,6.5,0
321,419,18,7,5,6.0,0
322,421,16,9,3,6.0,0
323,421,18,9,4,6.5,0
324,111,16,6,1,3.5,0
325,111,18,3,6,4.5,0
326,397,15,1,NULL,NULL,0
327,397,16,4,3,3.5,0
328,397,17,2,3,2.5,0
329,397,18,4,7,5.5,0
330,397,19,4,NULL,NULL,0
331,84,20,9,6,7.5,0
332,84,21,3,6,4.5,0
333,84,22,9,7,8.0,0
334,84,23,8,7,7.5,0
335,58,20,4,2,3.0,0
336,58,21,6,3,4.5,0
337,58,22,6,5,5.5,0
338,58,23,7,10,8.5,0
339,89,20,2,6,4.0,0
340,89,21,10,1,5.5,0
341,89,22,10,3,6.5,0
342,89,23,6,6,6.0,0
343,246,20,1,10,5.5,0
344,246,21,7,2,4.5,0
345,246,22,3,8,5.5,0
346,246,23,4,5,4.5,0
347,254,20,6,7,6.5,0
348,254,21,7,3,5.0,0
349,254,22,7,8,7.5,0
350,254,23,7,3,5.0,0
351,171,20,9,2,5.5,0
352,171,21,2,6,4.0,0
353,171,22,2,7,4.5,0
354,171,23,1,3,2.0,0
355,222,20,10,9,9.5,0
356,222,21,8,1,4.5,0
357,222,22,7,7,7.0,0
358,222,23,5,7,6.0,0
359,66,20,2,10,6.0,0
360,66,21,8,9,8.5,0
361,66,22,8,6,7.0,0
362,66,23,6,2,4.0,0
363,291,20,7,9,8.0,0
364,291,21,2,3,2.5,0
365,291,22,10,5,7.5,0
366,291,23,10,8,9.0,0
367,196,20,8,5,6.5,0
368,196,21,8,8,8.0,0
369,196,22,10,6,8.0,0
370,196,23,6,5,5.5,0
371,420,20,1,9,5.0,0
372,420,21,5,6,5.5,0
373,420,22,8,6,7.0,0
374,420,23,1,10,5.5,0
375,113,20,1,9,5.0,0
376,113,21,4,3,3.5,0
377,113,22,2,3,2.5,0
378,113,23,8,7,7.5,0
379,247,20,6,8,7.0,0
380,247,21,4,9,6.5,0
381,247,22,1,2,1.5,0
382,247,23,1,3,2.0,0
383,168,20,2,7,4.5,0
384,168,21,2,6,4.0,0
385,168,23,7,7,7.0,0
386,253,20,5,2,3.5,0
387,253,21,7,2,4.5,0
388,253,22,10,5,7.5,0
389,145,20,9,4,6.5,0
390,145,21,1,6,3.5,0
391,145,22,4,7,5.5,0
392,145,23,3,5,4.0,0
393,466,20,1,10,5.5,0
394,466,21,3,5,4.0,0
395,466,22,7,4,5.5,0
396,466,23,7,3,5.0,0
397,49,20,8,10,9.0,0
398,49,21,6,2,4.0,0
399,49,22,1,6,3.5,0
400,49,23,10,5,7.5,0
401,415,25,8,10,9.0,0
402,415,26,10,6,8.0,0
403,415,27,8,9,8.5,0
404,66,24,6,NULL,NULL,0
405,66,25,8,3,5.5,0
406,66,26,8,4,6.0,0
407,66,27,3,7,5.0,0
408,48,24,1,NULL,NULL,0
409,48,25,10,2,6.0,0
410,48,26,9,6,7.5,0
411,48,27,9,6,7.5,0
412,464,25,8,8,8.0,0
413,464,26,10,10,10.0,0
414,464,27,6,10,8.0,0
415,434,26,5,9,7.0,0
416,434,27,4,7,5.5,0
417,425,25,10,2,6.0,0
418,425,26,4,4,4.0,0
419,170,25,3,7,5.0,0
420,170,26,6,4,5.0,0
421,170,27,10,5,7.5,0
422,63,25,2,6,4.0,0
423,63,26,9,7,8.0,0
424,63,27,7,8,7.5,0
425,22,25,8,3,5.5,0
426,22,27,5,1,3.0,0
427,483,25,8,3,5.5,0
428,483,26,2,7,4.5,0
429,483,27,7,7,7.0,0
430,237,25,10,4,7.0,0
431,237,26,10,9,9.5,0
432,26,25,1,6,3.5,0
433,26,26,3,10,6.5,0
434,26,27,2,6,4.0,0
435,87,24,10,NULL,NULL,0
436,87,25,7,9,8.0,0
437,87,26,4,3,3.5,0
438,87,27,4,3,3.5,0
439,474,25,4,6,5.0,0
440,474,26,2,1,1.5,0
441,474,27,8,8,8.0,0
442,294,24,10,NULL,NULL,0
443,294,25,4,3,3.5,0
444,294,27,2,10,6.0,0
445,222,25,3,4,3.5,0
446,222,26,2,1,1.5,0
447,222,27,7,9,8.0,0
448,421,25,2,7,4.5,0
449,421,27,9,2,5.5,0
450,371,25,9,1,5.0,0
451,371,26,1,5,3.0,0
452,371,27,1,6,3.5,0
453,203,26,8,7,7.5,0
454,203,27,2,3,2.5,0
455,255,25,10,2,6.0,0
456,255,26,6,7,6.5,0
457,255,27,3,4,3.5,0
458,16,25,2,6,4.0,0
459,16,26,2,8,5.0,0
460,16,27,8,4,6.0,0
461,196,25,8,6,7.0,0
462,196,26,5,10,7.5,0
463,196,27,1,3,2.0,0
464,350,24,5,NULL,NULL,0
465,350,25,6,10,8.0,0
466,350,26,5,5,5.0,0
467,219,24,5,NULL,NULL,0
468,219,25,8,5,6.5,0
469,219,26,3,3,3.0,0
470,219,27,7,5,6.0,0
471,89,25,4,10,7.0,0
472,89,26,10,1,5.5,0
473,89,27,9,9,9.0,0
474,182,25,3,6,4.5,0
475,182,26,10,9,9.5,0
476,182,27,6,7,6.5,0
477,110,25,3,9,6.0,0
478,110,26,8,7,7.5,0
479,110,27,2,6,4.0,0
480,466,24,4,NULL,NULL,0
481,466,25,5,10,7.5,0
482,466,26,2,4,3.0,0
483,466,27,8,10,9.0,0
484,96,26,9,4,6.5,0
485,96,27,6,1,3.5,0
486,297,28,2,6,4.0,0
487,297,29,5,9,7.0,0
488,297,32,2,1,1.5,0
489,169,28,9,4,6.5,0
490,169,29,3,4,3.5,0
491,169,30,8,3,5.5,0
492,169,31,10,NULL,NULL,0
493,169,32,5,2,3.5,0
494,99,28,2,3,2.5,0
495,99,29,1,4,2.5,0
496,99,30,10,10,10.0,0
497,99,32,1,6,3.5,0
498,270,28,2,4,3.0,0
499,270,29,8,2,5.0,0
500,270,30,2,9,5.5,0
501,270,32,5,10,7.5,0
502,21,28,7,2,4.5,0
503,21,29,8,4,6.0,0
504,21,30,10,8,9.0,0
505,21,32,7,10,8.5,0
506,51,28,3,6,4.5,0
507,51,29,9,5,7.0,0
508,51,31,9,NULL,NULL,0
509,51,32,5,9,7.0,0
510,32,28,8,2,5.0,0
511,32,32,9,8,8.5,0
512,130,28,3,2,2.5,0
513,130,29,5,2,3.5,0
514,130,32,9,3,6.0,0
515,328,28,2,4,3.0,0
516,328,29,9,5,7.0,0
517,328,30,9,8,8.5,0
518,328,31,5,NULL,NULL,0
519,123,28,3,6,4.5,0
520,123,29,7,3,5.0,0
521,123,30,10,3,6.5,0
522,123,32,8,10,9.0,0
523,11,28,5,4,4.5,0
524,11,30,5,6,5.5,0
525,11,31,6,NULL,NULL,0
526,11,32,6,8,7.0,0
527,288,28,10,7,8.5,0
528,288,29,1,7,4.0,0
529,288,30,7,6,6.5,0
530,288,32,8,5,6.5,0
531,263,28,4,4,4.0,0
532,263,29,5,5,5.0,0
533,263,30,1,6,3.5,0
534,263,32,9,9,9.0,0
535,1,28,4,10,7.0,0
536,1,29,5,2,3.5,0
537,1,30,3,6,4.5,0
538,181,28,1,7,4.0,0
539,181,29,8,4,6.0,0
540,181,30,10,10,10.0,0
541,181,32,6,5,5.5,0
542,499,28,8,5,6.5,0
543,499,29,3,2,2.5,0
544,499,30,7,3,5.0,0
545,499,32,10,4,7.0,0
546,334,28,8,4,6.0,0
547,334,29,9,5,7.0,0
548,334,30,5,1,3.0,0
549,334,31,2,NULL,NULL,0
550,334,32,6,6,6.0,0
551,114,29,4,3,3.5,0
552,114,30,4,8,6.0,0
553,114,32,5,5,5.0,0
554,438,28,1,3,2.0,0
555,438,29,7,7,7.0,0
556,438,30,8,1,4.5,0
557,438,32,9,6,7.5,0
558,73,28,7,1,4.0,0
559,73,30,6,9,7.5,0
560,73,32,2,2,2.0,0
561,187,28,9,2,5.5,0
562,187,29,9,2,5.5,0
563,187,30,8,10,9.0,0
564,187,32,2,7,4.5,0
565,389,28,8,8,8.0,0
566,389,29,3,6,4.5,0
567,389,30,10,6,8.0,0
568,389,32,7,1,4.0,0
569,100,28,5,1,3.0,0
570,100,29,7,1,4.0,0
571,100,30,6,7,6.5,0
572,100,31,4,NULL,NULL,0
573,100,32,6,9,7.5,0
574,500,28,4,10,7.0,0
575,500,30,10,3,6.5,0
576,500,31,3,NULL,NULL,0
577,500,32,3,2,2.5,0
578,436,28,10,1,5.5,0
579,436,29,9,6,7.5,0
580,436,32,4,4,4.0,0
581,458,28,3,7,5.0,0
582,458,30,4,6,5.0,0
583,458,31,8,NULL,NULL,0
584,458,32,7,1,4.0,0
585,472,28,4,7,5.5,0
586,472,29,8,7,7.5,0
587,472,30,7,10,8.5,0
588,472,32,3,9,6.0,0
589,177,29,2,3,2.5,0
590,177,30,2,8,5.0,0
591,177,32,6,7,6.5,0
592,34,28,2,9,5.5,0
593,34,29,5,9,7.0,0
594,34,30,8,1,4.5,0
595,34,31,7,NULL,NULL,0
596,34,32,2,6,4.0,0
597,12,28,5,2,3.5,0
598,12,29,5,4,4.5,0
599,12,31,7,NULL,NULL,0
600,12,32,1,5,3.0,0
601,476,34,1,3,2.0,0
602,476,35,3,10,6.5,0
603,476,36,9,3,6.0,0
604,222,33,8,NULL,NULL,0
605,222,34,1,10,5.5,0
606,222,35,5,6,5.5,0
607,222,36,3,7,5.0,0
608,267,33,9,NULL,NULL,0
609,267,35,3,6,4.5,0
610,267,36,2,3,2.5,0
611,475,33,4,NULL,NULL,0
612,475,34,6,5,5.5,0
613,475,35,1,1,1.0,0
614,475,36,8,1,4.5,0
615,204,34,7,1,4.0,0
616,204,35,10,9,9.5,0
617,204,36,2,1,1.5,0
618,188,34,7,2,4.5,0
619,188,35,8,8,8.0,0
620,295,34,3,10,6.5,0
621,295,35,1,5,3.0,0
622,295,36,5,3,4.0,0
623,203,34,10,2,6.0,0
624,203,35,10,4,7.0,0
625,203,36,9,3,6.0,0
626,54,34,2,2,2.0,0
627,54,35,5,10,7.5,0
628,54,36,4,5,4.5,0
629,447,33,5,NULL,NULL,0
630,447,34,8,10,9.0,0
631,447,35,10,5,7.5,0
632,447,36,3,6,4.5,0
633,258,34,10,1,5.5,0
634,258,35,7,1,4.0,0
635,258,36,3,1,2.0,0
636,426,33,1,NULL,NULL,0
637,426,34,4,3,3.5,0
638,426,35,1,10,5.5,0
639,426,36,6,4,5.0,0
640,466,34,10,7,8.5,0
641,466,35,4,8,6.0,0
642,466,36,9,8,8.5,0
643,313,33,5,NULL,NULL,0
644,313,34,9,6,7.5,0
645,313,35,3,5,4.0,0
646,313,36,8,9,8.5,0
647,353,34,6,9,7.5,0
648,353,35,6,7,6.5,0
649,353,36,9,3,6.0,0
650,411,33,8,NULL,NULL,0
651,411,34,2,9,5.5,0
652,411,35,3,6,4.5,0
653,411,36,7,9,8.0,0
654,371,34,9,3,6.0,0
655,371,35,9,4,6.5,0
656,371,36,4,1,2.5,0
657,121,33,6,NULL,NULL,0
658,121,34,3,10,6.5,0
659,121,35,9,1,5.0,0
660,121,36,6,9,7.5,0
661,87,33,9,NULL,NULL,0
662,87,34,3,2,2.5,0
663,87,35,10,4,7.0,0
664,87,36,3,9,6.0,0
665,242,34,4,5,4.5,0
666,242,35,7,5,6.0,0
667,242,36,9,7,8.0,0
668,490,38,3,5,4.0,0
669,490,39,5,9,7.0,0
670,490,41,10,10,10.0,0
671,74,37,7,NULL,NULL,0
672,74,38,8,3,5.5,0
673,74,39,4,7,5.5,0
674,74,41,7,10,8.5,0
675,74,42,6,2,4.0,0
676,186,37,5,NULL,NULL,0
677,186,38,7,2,4.5,0
678,186,39,10,3,6.5,0
679,186,40,3,NULL,NULL,0
680,186,41,6,1,3.5,0
681,186,42,9,5,7.0,0
682,453,38,10,8,9.0,0
683,453,39,8,5,6.5,0
684,453,41,10,8,9.0,0
685,453,42,6,5,5.5,0
686,238,38,5,2,3.5,0
687,238,39,7,10,8.5,0
688,238,40,8,NULL,NULL,0
689,238,41,4,9,6.5,0
690,238,42,10,10,10.0,0
691,279,38,8,7,7.5,0
692,279,39,2,5,3.5,0
693,279,41,5,9,7.0,0
694,279,42,5,6,5.5,0
695,289,37,2,NULL,NULL,0
696,289,38,8,4,6.0,0
697,289,39,4,10,7.0,0
698,289,41,8,9,8.5,0
699,289,42,10,7,8.5,0
700,383,38,7,1,4.0,0
701,383,39,10,2,6.0,0
702,383,41,4,6,5.0,0
703,383,42,10,7,8.5,0
704,159,38,1,6,3.5,0
705,159,39,8,8,8.0,0
706,159,41,7,7,7.0,0
707,159,42,1,4,2.5,0
708,58,38,6,2,4.0,0
709,58,39,7,1,4.0,0
710,58,41,5,6,5.5,0
711,58,42,6,6,6.0,0
712,373,38,8,1,4.5,0
713,373,39,5,3,4.0,0
714,373,40,9,NULL,NULL,0
715,373,41,7,6,6.5,0
716,373,42,3,8,5.5,0
717,319,38,10,9,9.5,0
718,319,39,4,6,5.0,0
719,319,41,2,7,4.5,0
720,319,42,8,3,5.5,0
721,232,38,8,6,7.0,0
722,232,39,8,6,7.0,0
723,232,42,2,4,3.0,0
724,116,39,9,5,7.0,0
725,116,41,7,10,8.5,0
726,116,42,4,2,3.0,0
727,223,37,10,NULL,NULL,0
728,223,39,5,3,4.0,0
729,223,41,7,3,5.0,0
730,229,37,5,NULL,NULL,0
731,229,38,2,6,4.0,0
732,229,41,9,3,6.0,0
733,229,42,5,1,3.0,0
734,117,38,4,4,4.0,0
735,117,39,8,4,6.0,0
736,117,40,5,NULL,NULL,0
737,117,41,1,10,5.5,0
738,117,42,8,7,7.5,0
739,265,39,3,9,6.0,0
740,265,41,7,5,6.0,0
741,265,42,6,5,5.5,0
742,30,38,4,6,5.0,0
743,30,39,2,3,2.5,0
744,30,41,4,9,6.5,0
745,30,42,2,9,5.5,0
746,158,38,2,10,6.0,0
747,158,39,6,9,7.5,0
748,158,41,5,10,7.5,0
749,158,42,8,10,9.0,0
750,261,38,2,3,2.5,0
751,261,39,8,9,8.5,0
752,261,41,8,3,5.5,0
753,261,42,6,2,4.0,0
754,276,38,5,1,3.0,0
755,276,39,8,7,7.5,0
756,139,37,8,NULL,NULL,0
757,139,38,5,6,5.5,0
758,139,39,9,7,8.0,0
759,139,40,9,NULL,NULL,0
760,139,42,1,10,5.5,0
761,486,37,6,NULL,NULL,0
762,486,38,2,10,6.0,0
763,486,39,7,3,5.0,0
764,486,41,10,3,6.5,0
765,486,42,1,8,4.5,0
766,161,38,2,7,4.5,0
767,161,39,7,7,7.0,0
768,161,41,6,3,4.5,0
769,161,42,6,3,4.5,0
770,330,38,8,2,5.0,0
771,330,39,7,4,5.5,0
772,330,40,2,NULL,NULL,0
773,330,41,2,9,5.5,0
774,330,42,10,1,5.5,0
775,41,38,6,2,4.0,0
776,41,39,9,1,5.0,0
777,41,40,7,NULL,NULL,0
778,41,41,10,10,10.0,0
779,41,42,2,3,2.5,0
780,94,37,10,NULL,NULL,0
781,94,38,9,4,6.5,0
782,94,40,3,NULL,NULL,0
783,94,41,10,3,6.5,0
784,94,42,3,9,6.0,0
785,435,37,8,NULL,NULL,0
786,435,38,1,9,5.0,0
787,435,39,2,5,3.5,0
788,435,41,3,10,6.5,0
789,435,42,2,8,5.0,0
790,402,37,3,NULL,NULL,0
791,402,42,7,8,7.5,0
792,213,45,4,6,5.0,0
793,213,46,8,4,6.0,0
794,368,44,1,NULL,NULL,0
795,274,45,10,2,6.0,0
796,274,46,2,6,4.0,0
797,322,45,9,7,8.0,0
798,322,46,4,5,4.5,0
799,343,45,7,7,7.0,0
800,343,46,2,8,5.0,0
801,265,43,2,NULL,NULL,0
802,265,45,7,5,6.0,0
803,265,46,5,1,3.0,0
804,20,44,2,NULL,NULL,0
805,20,45,10,10,10.0,0
806,20,46,6,1,3.5,0
807,94,44,5,NULL,NULL,0
808,94,45,6,9,7.5,0
809,94,46,7,9,8.0,0
810,153,44,6,NULL,NULL,0
811,153,45,1,4,2.5,0
812,153,46,3,4,3.5,0
813,224,44,4,NULL,NULL,0
814,224,45,10,10,10.0,0
815,224,46,7,4,5.5,0
816,78,44,5,NULL,NULL,0
817,78,45,4,6,5.0,0
818,348,45,7,1,4.0,0
819,348,46,10,4,7.0,0
820,382,44,7,NULL,NULL,0
821,382,45,5,4,4.5,0
822,390,45,1,7,4.0,0
823,390,46,7,5,6.0,0
824,223,44,8,NULL,NULL,0
825,223,45,1,7,4.0,0
826,223,46,8,3,5.5,0
827,219,44,2,NULL,NULL,0
828,219,45,8,2,5.0,0
829,219,46,6,3,4.5,0
830,500,44,7,NULL,NULL,0
831,500,45,5,5,5.0,0
832,500,46,5,2,3.5,0
833,495,45,4,2,3.0,0
834,495,46,8,4,6.0,0
835,181,43,1,NULL,NULL,0
836,181,45,4,1,2.5,0
837,181,46,3,2,2.5,0
838,388,45,10,6,8.0,0
839,388,46,3,8,5.5,0
840,132,44,9,NULL,NULL,0
841,132,45,4,4,4.0,0
842,132,46,1,10,5.5,0
843,26,43,3,NULL,NULL,0
844,419,44,1,NULL,NULL,0
845,419,45,3,5,4.0,0
846,419,46,4,3,3.5,0
847,316,47,6,8,7.0,0
848,316,48,8,2,5.0,0
849,316,50,5,9,7.0,0
850,239,47,9,6,7.5,0
851,239,48,2,7,4.5,0
852,239,50,3,6,4.5,0
853,95,47,3,2,2.5,0
854,95,48,1,7,4.0,0
855,95,49,1,NULL,NULL,0
856,95,50,10,2,6.0,0
