CourseID,TutorID,LocationID,TotalHour,SchoolYear,CreatedAt,UpdatedAt,IsDeleted
48,8,2,1800,2024/2025,2024-09-08,2025-06-07,0
49,11,2,1800,2022/2023,2022-09-11,2023-04-05,0
50,12,2,1800,2020/2021,2020-09-05,2021-06-05,0
51,8,3,1800,2022/2023,2022-09-02,2023-04-20,0
52,12,2,1800,2022/2023,2022-09-09,2023-05-28,0
53,15,3,1800,2023/2024,2023-09-01,2024-03-23,0
54,11,2,1800,2019/2020,2019-09-13,2020-02-22,0
55,10,3,1800,2020/2021,2020-09-11,2021-05-02,0
56,6,2,1800,2024/2025,2024-09-11,2025-04-25,0
57,4,3,1800,2019/2020,2019-09-01,2020-01-09,0
58,12,3,1800,2024/2025,2024-09-09,2025-05-19,0
59,8,3,1800,2020/2021,2020-09-08,2021-03-13,0
60,2,2,1800,2020/2021,2020-09-06,2021-01-16,0
61,14,3,1800,2022/2023,2022-09-15,2023-01-04,0
62,8,1,1800,2020/2021,2020-09-06,2021-03-11,0
63,2,2,1800,2023/2024,2023-09-08,2024-03-16,0
64,2,2,1800,2024/2025,2024-09-12,2025-04-11,0
65,1,2,1800,2019/2020,2019-09-13,2020-06-04,0
66,3,3,1800,2024/2025,2024-09-02,2025-06-26,0
67,3,2,1800,2020/2021,2020-09-09,2021-02-18,0
68,13,2,1800,2023/2024,2023-09-07,2024-04-08,0
69,11,2,1800,2024/2025,2024-09-03,2025-02-21,0
70,15,1,1800,2022/2023,2022-09-01,2023-06-20,0
71,1,3,1800,2022/2023,2022-09-10,2023-04-13,0
72,12,1,1800,2020/2021,2020-09-04,2021-03-25,0
73,6,2,1800,2023/2024,2023-09-02,2024-05-06,0
74,11,2,1800,2020/2021,2020-09-08,2021-01-09,0
75,7,3,1800,2023/2024,2023-09-11,2024-03-20,0
76,6,2,1800,2022/2023,2022-09-10,2023-01-12,0
77,13,2,1800,2023/2024,2023-09-03,2024-06-23,0
78,3,2,1800,2023/2024,2023-09-10,2024-01-22,0
79,3,2,1800,2019/2020,2019-09-04,2020-03-04,0
80,7,3,1800,2024/2025,2024-09-03,2025-05-13,0
81,3,2,1800,2020/2021,2020-09-10,2021-04-14,0
82,15,1,1800,2024/2025,2024-09-09,2025-06-21,0
83,3,1,1800,2023/2024,2023-09-03,2024-04-10,0
84,1,2,1800,2021/2022,2021-09-14,2022-04-20,0
85,14,2,1800,2019/2020,2019-09-08,2020-02-07,0
86,7,3,1800,2023/2024,2023-09-09,2024-06-16,0
87,8,2,1800,2022/2023,2022-09-07,2023-06-27,0
88,13,1,1800,2020/2021,2020-09-02,2021-05-01,0
89,9,2,1800,2021/2022,2021-09-01,2022-03-08,0
90,12,2,1800,2020/2021,2020-09-13,2021-04-19,0
91,2,2,1800,2023/2024,2023-09-09,2024-01-19,0
92,14,1,1800,2023/2024,2023-09-14,2024-03-18,0
