RentalID,EmployeeID,CustomerID,RentalDetailID,StartDate,TerminationDate
111,17,3,111,2025-05-31,NULL
112,1,9,112,2025-06-14,2025-06-21
113,7,28,113,2025-03-24,NULL
114,13,96,114,2025-02-01,2025-03-12
115,1,78,115,2025-05-11,2025-05-24
116,11,86,116,2024-10-10,2024-10-19
117,6,53,117,2025-02-26,2025-03-24
118,13,31,118,2024-12-16,2024-12-23
119,16,56,119,2025-06-23,2025-07-01
120,6,83,120,2025-04-01,NULL
121,14,50,121,2025-03-29,2025-04-08
122,12,51,122,2025-02-01,2025-03-05
123,16,47,123,2024-11-13,2024-12-03
124,10,17,124,2025-08-12,2025-09-11
125,12,31,125,2025-03-12,NULL
126,7,3,126,2025-01-27,2025-02-23
127,14,82,127,2025-06-29,2025-07-23
128,17,79,128,2024-10-30,NULL
129,14,54,129,2025-09-15,2025-10-19
130,11,66,130,2024-11-23,NULL
131,20,96,131,2024-10-14,NULL
132,20,62,132,2025-05-17,NULL
133,14,43,133,2025-03-23,2025-04-04
134,12,45,134,2025-05-27,2025-07-05
135,18,85,135,2025-03-16,2025-04-28
136,9,30,136,2025-02-23,2025-03-25
137,11,41,137,2025-07-26,2025-09-04
138,2,14,138,2025-08-06,2025-09-09
139,1,66,139,2025-09-19,NULL
140,12,76,140,2024-10-10,2024-10-28
141,20,63,141,2025-09-24,NULL
142,6,39,142,2025-06-16,2025-07-13
143,12,65,143,2024-11-27,2024-12-22
144,1,52,144,2025-03-22,2025-04-21
145,11,96,145,2025-06-21,NULL
146,14,46,146,2025-04-25,2025-05-21
147,13,39,147,2024-10-29,2024-11-17
148,17,21,148,2025-03-04,2025-04-15
149,2,34,149,2025-02-07,2025-02-28
150,11,27,150,2025-04-20,NULL
