LessonID,StudentID,SubjectID,PaymentID,CategoryID,StartDate,StartTime,LessonType
38,7,7,NULL,5,2025-08-17,19:00:00,Individuale
39,12,12,NULL,4,2025-11-07,18:30:00,A Domicilio
40,50,14,129,5,2025-04-17,14:00:00,Individuale
41,30,13,22,3,2025-05-14,14:00:00,Gruppo
42,41,2,91,4,2025-09-27,14:30:00,Online
43,70,8,68,4,2025-05-05,17:00:00,Gruppo
44,75,5,114,8,2025-11-11,15:30:00,Online
45,54,9,101,2,2025-11-06,14:30:00,Individuale
46,66,5,NULL,3,2025-06-18,18:30:00,A Domicilio
47,12,7,NULL,5,2025-09-26,16:30:00,Individuale
48,50,5,83,3,2025-08-23,16:00:00,Gruppo
49,47,13,NULL,2,2025-05-25,16:00:00,Gruppo
50,8,8,91,6,2025-07-29,20:00:00,Individuale
51,11,3,125,5,2025-08-20,18:00:00,Online
52,69,8,33,3,2025-06-10,20:00:00,Online
53,3,15,NULL,3,2025-05-04,20:00:00,Individuale
54,66,3,NULL,6,2025-05-07,19:30:00,Individuale
55,49,3,76,8,2025-04-19,16:30:00,A Domicilio
56,12,11,33,7,2025-06-19,18:30:00,Online
57,8,1,NULL,5,2025-07-27,18:30:00,Online
58,54,3,112,1,2025-04-17,20:00:00,Online
59,27,4,121,5,2025-08-30,18:30:00,Online
60,53,11,NULL,2,2025-05-09,16:00:00,Gruppo
61,33,11,17,3,2025-10-22,16:00:00,Individuale
62,34,4,80,7,2025-09-05,19:00:00,Online
63,39,9,55,8,2025-07-12,15:30:00,Online
64,65,1,NULL,7,2025-06-02,14:00:00,Individuale
65,33,5,103,5,2025-05-29,14:30:00,A Domicilio
66,6,9,65,3,2025-06-07,16:30:00,A Domicilio
67,25,2,13,5,2025-08-29,17:00:00,Gruppo
68,77,2,147,4,2025-08-16,20:00:00,A Domicilio
69,44,2,68,6,2025-05-14,19:00:00,Gruppo
70,50,13,132,7,2025-11-04,20:00:00,Individuale
71,76,9,15,8,2025-10-31,19:00:00,A Domicilio
72,80,6,NULL,3,2025-07-04,20:00:00,A Domicilio
73,57,12,13,2,2025-10-23,20:30:00,Gruppo
74,51,14,38,3,2025-10-01,14:30:00,Online
75,38,6,122,3,2025-07-12,14:00:00,Gruppo
76,45,1,NULL,3,2025-10-19,20:00:00,Online
77,63,6,36,2,2025-09-05,20:00:00,Individuale
78,34,11,NULL,1,2025-05-12,17:30:00,Individuale
79,76,10,34,2,2025-11-09,19:30:00,Online
80,39,1,NULL,4,2025-05-04,20:00:00,Online
81,1,9,116,7,2025-10-07,15:00:00,Online
82,31,10,1,7,2025-10-09,19:00:00,Gruppo
83,72,10,58,1,2025-10-02,17:00:00,A Domicilio
84,9,2,NULL,7,2025-05-21,18:30:00,Online
85,57,8,56,5,2025-05-31,17:30:00,A Domicilio
86,41,9,NULL,5,2025-04-24,15:30:00,Gruppo
87,25,8,126,2,2025-11-01,15:30:00,Gruppo
88,54,1,51,5,2025-11-13,14:00:00,Online
89,13,5,128,7,2025-05-28,20:30:00,Gruppo
90,63,14,65,1,2025-08-09,18:00:00,Individuale
91,23,15,NULL,2,2025-05-06,20:30:00,Individuale
92,16,3,1,3,2025-07-22,20:30:00,Gruppo
93,1,1,36,6,2025-05-22,18:00:00,A Domicilio
94,28,10,132,1,2025-06-26,17:30:00,Gruppo
95,19,7,40,6,2025-08-08,17:30:00,Individuale
96,7,1,87,2,2025-06-20,17:30:00,Gruppo
97,71,10,128,7,2025-04-30,19:30:00,Individuale
98,9,15,NULL,4,2025-07-17,16:00:00,A Domicilio
99,36,9,93,7,2025-10-28,14:30:00,Individuale
100,13,8,NULL,8,2025-10-12,15:00:00,Online
101,12,13,NULL,5,2025-05-03,15:30:00,Individuale
102,40,5,23,8,2025-07-03,16:00:00,A Domicilio
103,60,1,71,1,2025-08-23,14:30:00,A Domicilio
104,51,4,NULL,7,2025-07-09,20:30:00,Gruppo
105,36,2,129,8,2025-10-11,14:00:00,Online
106,77,2,32,5,2025-08-01,19:00:00,Individuale
107,9,9,NULL,8,2025-06-27,17:30:00,A Domicilio
108,51,3,10,2,2025-09-06,20:30:00,Gruppo
109,47,15,60,7,2025-08-26,17:00:00,A Domicilio
110,16,12,112,7,2025-08-20,15:00:00,A Domicilio
111,74,13,145,4,2025-06-11,20:30:00,Individuale
112,11,1,NULL,1,2025-07-09,17:30:00,Online
113,17,6,77,5,2025-09-03,18:30:00,Gruppo
114,56,12,70,8,2025-05-24,14:30:00,Gruppo
115,58,4,NULL,5,2025-07-04,15:00:00,Online
116,64,1,139,6,2025-10-31,15:00:00,Online
117,15,12,NULL,3,2025-04-20,18:00:00,A Domicilio
118,25,8,NULL,8,2025-04-28,19:30:00,Online
119,10,9,NULL,5,2025-04-25,20:00:00,Individuale
120,43,12,NULL,4,2025-06-28,17:30:00,Gruppo
121,74,4,89,6,2025-06-21,14:00:00,Online
122,47,15,NULL,5,2025-09-01,18:30:00,A Domicilio
123,50,12,NULL,6,2025-06-23,18:00:00,Individuale
124,59,14,NULL,6,2025-09-17,17:30:00,Gruppo
125,62,2,74,3,2025-06-14,17:30:00,Gruppo
126,22,12,113,7,2025-05-29,16:00:00,Gruppo
127,41,12,116,6,2025-10-27,19:30:00,Individuale
128,51,7,NULL,3,2025-07-11,16:00:00,Gruppo
129,20,14,95,4,2025-09-25,20:00:00,A Domicilio
130,2,5,NULL,2,2025-06-19,17:00:00,A Domicilio
131,14,13,NULL,1,2025-05-16,20:30:00,Individuale
132,79,1,21,6,2025-07-21,18:30:00,A Domicilio
133,17,11,150,3,2025-09-23,19:30:00,A Domicilio
134,73,1,49,2,2025-10-07,19:00:00,A Domicilio
135,1,3,NULL,6,2025-04-24,18:30:00,Individuale
136,73,2,78,6,2025-04-17,19:00:00,Online
137,3,13,14,2,2025-05-10,16:30:00,A Domicilio
138,4,12,NULL,1,2025-04-22,19:30:00,Online
139,30,14,47,5,2025-06-30,18:30:00,Online
140,43,14,NULL,5,2025-06-02,15:00:00,A Domicilio
141,66,9,NULL,6,2025-05-07,17:00:00,A Domicilio
142,41,6,NULL,3,2025-10-12,18:30:00,Online
143,20,8,2,3,2025-07-06,18:00:00,A Domicilio
144,13,7,112,2,2025-05-29,19:00:00,A Domicilio
145,37,8,17,4,2025-06-24,14:30:00,Individuale
146,37,8,120,2,2025-05-03,15:30:00,A Domicilio
147,58,8,117,1,2025-07-14,15:30:00,Gruppo
148,32,13,7,2,2025-04-23,16:00:00,Individuale
149,9,4,NULL,4,2025-06-06,19:00:00,A Domicilio
150,74,13,25,2,2025-10-31,20:30:00,A Domicilio
151,53,12,74,1,2025-09-27,18:00:00,Gruppo
152,58,14,NULL,3,2025-09-20,17:30:00,Gruppo
153,38,5,NULL,2,2025-05-27,16:00:00,Individuale
154,57,11,NULL,5,2025-10-11,14:30:00,Online
155,10,13,NULL,5,2025-11-02,19:30:00,Gruppo
156,27,12,136,7,2025-04-24,18:00:00,A Domicilio
157,34,6,143,4,2025-08-16,14:30:00,Individuale
158,39,7,130,2,2025-09-15,18:00:00,Online
159,73,3,101,3,2025-10-21,15:00:00,Individuale
160,60,2,NULL,2,2025-05-05,16:00:00,Individuale
161,61,13,49,2,2025-11-02,15:00:00,A Domicilio
162,33,13,136,6,2025-05-29,19:30:00,Online
163,11,2,45,8,2025-06-01,17:00:00,A Domicilio
164,65,14,84,7,2025-08-25,18:00:00,Individuale
165,65,11,NULL,1,2025-08-21,15:30:00,A Domicilio
166,7,13,NULL,7,2025-09-22,14:00:00,Gruppo
167,73,2,34,4,2025-09-04,17:30:00,Gruppo
168,55,6,149,3,2025-04-25,19:30:00,A Domicilio
169,28,9,137,4,2025-10-28,17:30:00,Gruppo
170,28,13,32,2,2025-10-18,14:00:00,Online
171,66,12,126,6,2025-10-14,15:00:00,Gruppo
172,64,3,NULL,1,2025-10-05,18:00:00,Gruppo
173,55,2,143,4,2025-07-03,18:00:00,Individuale
174,31,3,5,7,2025-11-08,19:30:00,Individuale
175,75,7,96,8,2025-11-11,18:30:00,Online
176,63,12,61,6,2025-05-10,14:00:00,Individuale
177,7,1,NULL,8,2025-09-25,14:00:00,A Domicilio
178,71,10,15,3,2025-08-01,18:30:00,Gruppo
179,2,8,62,6,2025-05-02,14:30:00,A Domicilio
180,74,13,64,5,2025-08-20,19:30:00,A Domicilio
181,66,10,NULL,7,2025-07-05,14:00:00,A Domicilio
182,25,5,75,2,2025-07-07,17:30:00,Online
183,18,2,6,6,2025-09-14,15:30:00,Online
184,75,14,14,5,2025-09-10,14:30:00,Individuale
185,57,1,133,6,2025-07-10,18:00:00,Gruppo
186,22,15,78,6,2025-06-17,14:00:00,A Domicilio
187,4,15,40,5,2025-07-28,16:30:00,Individuale
188,51,5,58,8,2025-07-18,16:00:00,Individuale
189,68,8,82,4,2025-10-24,16:00:00,Online
190,55,9,106,4,2025-08-03,14:30:00,A Domicilio
191,23,6,19,5,2025-10-24,19:00:00,A Domicilio
192,18,1,NULL,5,2025-06-29,16:30:00,A Domicilio
193,1,8,71,5,2025-11-04,18:30:00,A Domicilio
194,13,12,NULL,5,2025-10-22,15:00:00,Individuale
195,78,2,85,7,2025-10-29,15:00:00,Gruppo
196,23,8,NULL,7,2025-05-03,19:00:00,Online
197,21,5,26,4,2025-09-06,14:30:00,Gruppo
198,16,5,138,2,2025-10-20,17:30:00,Individuale
199,16,13,2,8,2025-08-13,17:00:00,Individuale
200,21,2,105,6,2025-06-28,19:00:00,A Domicilio
